ID,Name
c61262691a527e5235ecad69163d03ec,young (of animal)/calf/foal
bcb2750ff6f20411b7e305760985726d,buffalo
f1bdf5ed1d7ad7ede4e3809bd35644b0,horse
f74c6af46a78becb2f1bd3f95bbd5858,pig
23ec24c5ca59000543cee1dfded0cbea,sheep
b9edbf3b72425b95c955cbb5878766fe,chicken/fowl (general term)
8d183216199588c13a04fc83e1afc87f,dog (Canis familiaris)
6c300237d41be68d7d2adffc0f8668fa,cat (Felis domesticus)
cd6c416546d256996e4941fe1170458e,deer
0514cd34fe3f18686af953d9f479f995,Tibetan/Himalayan bear (Selenarctos thibetanus)
d0763edaa9d9bd2a9516280e9044d885,monkey
e756f6aafafdef4debdb5e49bcbd3f11,rat
eac074b0503b45740d49b18eb659bcfc,squirrel
e4b48fd541b3dcb99cababc87c2ee88f,elephant
938c2cc0dcc05f2b68c4287040cfcf71,frog
de1b2a7baf7850243db71c4abd4e5a39,snake
0ce031b7550b0eac48ef984c9adc8f0d,bird (general)
daff0cb63e637cc6545b3f42180e6655,dove/pigeon (general term)
2987b46d0cce82f1ce38e08c23f39cc1,fish (general)
bd589331b99367c8db92ab7ffaecc30b,crab
de2cb4e86f7f554105e276fc2492d7b6,clam/mussel/oyster
dce41a93f7edb175dfc59a4d52105847,insect
63b07e828bf016e976ff95d6ee07a105,ant
9dfd70fdf15a3cb1ea00d7799ac6651b,bee
61aa9eafc7982cee3eff4e494f174da2,louse
f1a81d782dea6a19bdca383bffe68452,spider
96cc031af2cdfbd22fdf881180842282,leech (land)
772b2335c8b6413f82db0106672511a3,leech (water)
54b9ba3422a66bc688ebad7271e8affb,side (right)
a4a1b534c47ba8a6cccc0d3fc48095fb,side (left)
d2a1af14dfe703680d072eeb66402271,back (of something)
12e11cc72f8d0d7e1563b19c13a3bdad,front (of something)
9da3be8f92c0bbfd7a7d6d6ec0b3fad3,behind
2917f8743e8dd4d36ae50a74526d28de,in front of
76bb99ab665c03e9f28ad29fc6440a3d,torso/trunk
6a856270a4f1d22cc89c2ea8a6d6a9ca,bosom
9236aeee919c99af263dfc4284e4b597,flesh (between skin and fat)
08dcb91e985ab1cdad6a3ec72bcea8ce,flesh/meat
f7ce2cee5e399be357443ff5b94fd40a,alive/be living
e155e1bb4a9c38e3baf90637ab7865df,life
fe7388b04fdbb16a08a92709d8d7049a,die/be dead
5edfeb1b4cf199674e825e8a1f521080,corpse/dead body
c529a74fa1f671f42e1ff2d9f5fe6f0c,carcass/dead animal
521fc31c178060e9acea39818af08893,sleep/ be asleep
36388a74b9d4c0f7fa3e4bc874e12ce4,awaken
96e89a298e0a9f469b9ae458d6afae9f,head
f1d56a905eae9675f8a4a49571d66e0e,fontanel (soft spots in baby skull)
f13460bd46c28e73e8d2b6122bea2241,skull
8b373710bcf876edd91f281e50ed58ab,brain
7fc0fdba5dddca15964990f7f5b98fe9,sinus
78786591a300a5e82fa4b0ac6ae44eb5,scalp
d5997b8a54b713514ef924b163756fce,comb (of rooster)
b576e248c2353138fbd9dc63952ba873,horn (of animal)
e25097b82b10c6bec09829bd827f7a5f,antler (of deer)
d5ca322453f2986b752e58b11af83d96,face
313bd1ddd22ab740017cc5377d96ca91,forehead/brow
f19bd0844e53369373385609e28dbf84,eye
88a9ff099fccc16b78b0207598096861,iris/pupil
9698358af487acc3072443606de024fd,white of eye
72e04b9ab3e41ff6e3e17ee0700f23b0,eyebrow
29d43f4c4cfe574127f36d99de76af81,eyelash
17dbd2ca952b5cdd19995aa2c64d2eb3,blink (v.)
aaf6bed626d4c51eedfd0bdc19d4555b,tear (n.)
d128b18a38a028dba7036184555068c5,eye sand
6bb9b0ae3bd5f416219b4fc514e01f7b,cry/weep (v.)
66cb03d30bad7305725f85785cb32b9d,look at (v.)
6013221752df892237d0fc99fd8a328f,blind
41d1de28e96dc1cde568d3b068fa17bb,nose
3445d506d267e4e83efca15a8eadf166,nose bridge
5844661a1cc9ca67a026516db45fd2ce,nostril
af24aeef78033c847d5dd7f2a5af340b,nose hair
084e2002a99bf62c5677e80509c01cfd,mucus
7de39a4e4d3fba2d5845ecccb2efe8b9,Flick the snot (from your nose)ǃ
f414fce6ba1839ed2f29b5061166fbd8,Clean your noseǃ
90f0c60c3eafe7146a4468bdf3b82c82,smell/sniff (v.)
d8ff99616fc9df8a54a32eec86ba8109,ear
9f5ed7fd7f4976648f70632063dbf560,ear canal
97f1b190001e865c7198a259a946a75a,eardrum
368a3f662e1a8549c1adb77b10c365d6,earwax
dcb1a632ff1b1ef686228460be95d73f,hear (v.)
19ffc3d99f4a554333f5d0f24e6f1d11,deaf
cb5786412becb979c90f606f25ad4b4f,mouth
72f77a03b04a173b1a40e1e36143d9c8,gums
1e893922a5ddc59deda87b8f38f360cb,saliva
123dbde6f43c6f1e39d72ec3518eae86,eat (general; v.)
c9e6cb9d0a8159d85f5044f794dda070,eat (rice; v.)
dc0590b39b0b51117935b6a527e04951,drink (v.)
006fdbf837d2ec42a0e3ba383a1897c0,be thirsty
1f9e85de4932a363140b3f3737ce0f81,be hungry
ad3c46cfd028f0c43ef34a236dfd1929,full/be satiated
c648da59a22f4c9d122a78e786271efd,spit (v.)
0bbed4426d7ac5a980d6e049123126cb,vomit (n.) (vomitted rice)
2c954f62d5a748724dfc1f81a554535a,vomit (v.)
3bb0a5fccc52187e713a3fd90fddbcc3,hold in mouth (v.)
ca7d51a9aace061c1ea49bb8086b1c71,gape/open mouth (v.)
0b43bbb15ffbf52ef97f021171377b48,yawn (v.)
cc99541ff10660a5542cc6eec7b81ac4,tongue
b95677216e439d96ec4fba1240a3c1f8,voice
febcfc97ba0ac72f29ba46fb1c2c41e0,words/speech
2f928ea1ab21cc82cb86ad6b4c03cdff,mute/dumb
a548bc6bfd6cadfe6d205eafe80b50de,lick (v.)
fd2cfade93518ddd6cff5cb8c6906b17,lip
5fb7e5a4af39ece7b1c20b4a88060928,beak/bill (of bird)
f8131add623fb19478aa58e7071474e8,smile (v.)
28b26be59c986170c572133aaace31c2,tooth
1c951ed7a810816ad93c1113fd0d4b17,"incisor (lit. ""front teeth"")"
a4c309ae617c8aea51bfacf7d0650906,molar
dd637460e06bda48c62b20a92e39f60c,bite (v.)
ecc8acfcba41971d5d1caf0b204274f0,chew (v.)
af238f7fa55be68cec87e800e3606c04,cheek
cf5959abc694585c8bd76a7b29de7197,cheekbone/malar bone
87fa4eaaf3698e1b1e2caadabbc8ca60,chin
f6f887b6f5f2239cd0a22eef33f215b8,jaw (general)
509763661569eeb75e957c9a276a5dd7,throat
45fe7e5529d283851d93b74536e095a0,neck
db48b1e6d4c4decb715806e48db4cae8,adam's apple/larynx
e419c1e86a7aa03a097fc0828417d173,swallow (v.)
ea034b3dfebe98c0fa0a128a0b426f67,gizzard/crop of bird
14952ea782ad87d7e30059fa3cc516f1,chest
1d123ce2a883b87333e2629cdcec9c59,rib cage
5de560dfbd3111197969fd3b0e9f0d73,rib
f4ee012eae0dc769e05ebfb2640ac5db,breastbone/sternum
7f2a1fa921e5b3a5789105657bb94a3a,collar bone/clavicle
5d7d36319ea48472c1a963b9c6c2b252,breast
5f44c2d9636efa05ae57b63786a2fb97,nipple
f593781ced28d67b951fb61f545652e6,udder (of co
ecbdb882ae865a07d87611437fda0772,milk
38325f5b5b9fc74854a0164fd8dad85e,milk of animal
469bba0a564235dfceede42db14f17b0,back
84cf7d17a34153cee44d9502353c4211,lower back
d3f420ab4855152f387180b4cd49300d,spine/backbone
9fe0f5fcc3fff1c5faf62b5af7785980,hunchback
7a0fdcbc4430c9db3766d51237829beb,belly/abdomen (external bulge)
bc89f1a57c73fc603cc949b5e9d7c026,navel
e8397b9a3ef8242324c631aab10f32cc,pelvis/pelvic girdle
f8c80f9a170ee6ab52ed1e87054f32d4,hips
aad1eb90f1c6046117a5d4d7141e2719,hipbone
04b5ca14dfe2f8374cd650d36ed353cf,buttocks
687879f360a9248faa050a5aed0c8f74,tailbone/coccyx
65c6ff9204ab076df54d2cf09cc54849,tail (of animal)
f926b3e222d7afee57071b2256839701,arm
c8f40cfaa8699c4713b7b062d1222eb0,underarm/armpit
49bc38ac1c15b39c0400baf93d72ef8c,tickle (v.)
c9095dfe6ef4c26d7d1ed21ebb63e86e,upperarm
ac2b72088d4f7523be683cc5c5266213,elbow
