ID,Name,Initial,Description
56009,ʃoŋ,ʃ,road
56010,w̥aː,w,tooth
56011,jaː,j,night
56012,zaːt,z,walk
56013,ʃaːt,ʃ,thorn
56014,ʃuːt,ʃ,rub/brush
56015,tɐk,t,grind/pound/crush
56016,dlek,d,break
56017,nuk,n,shake
56018,roːk,r,throat/larynx/voice
56019,dliŋ,d,marrow
56020,kɐːk,k,cut (wood)
56021,lɐːt,l,self
56022,raː,r,star
56023,haːw,h,start
56024,ʃi,ʃ,wind (n.)
56025,jon,j,"wrong, be"
56026,teːw,t,small/few
56028,pwaː,p,father/male
56030,baj,b,yam
56031,mej,m,goat
56032,d͡zɐːr,d,older relative
56035,laː,l,daughter
56036,saːŋ,s,long
56037,caŋ,c,moon
56038,pʰaːŋ,p,branch
56039,kʰaŋ,k,lift
56040,caŋ,c,mosquito
56041,fu,f,elephant
56042,d͡zej,d,large/big
56043,kʰoŋ,k,boat
56045,jam,j,run/flee
56046,lɐŋ,l,raptor / falcom / hawk / kite
56047,t͡si,t,tight
56048,ju,j,kiss
56049,liŋ,l,ant
56050,rej,r,twist
56051,haːm,h,yawn
56052,ceːr,c,saliva
56053,ʃuŋ,ʃ,close/shut
56054,ʃʰo,ʃ,open
56055,kaː,k,open (mouth)
56056,zim,z,suck (as a leech)
56058,kaːr,k,strong
56059,kʰoːŋ,k,neck
56060,kej,k,kidney
56061,jɐp,j,hit/strike
56063,kaw,k,dry (v.t.)
56064,ju,j,wet
56065,ʃuːp,ʃ,pick up
56066,mi,m,cat
56067,ŋa,ŋ,fish
56068,tʰaj,t,hungry
56069,laː,l,untie/loose
56071,nur,n,fight
56072,d͡zeːŋ,d,lizard
56073,pʰraː,p,good
56074,koːŋ,k,river
56075,cʰaŋ,c,like/want
56077,tʰaː,t,resemble
56078,hur,h,fan
56079,nir,n,wrinkle
56080,nem,n,low
56081,laː,l,star
56082,him,h,bear
56083,tʰɐːk,t,kick
56084,tʰaː,t,seed
56088,ʔaː,ʔ,3rd person
56089,ʔej,ʔ,1st person
56091,maj,m,face
56094,mi,m,man/human
56095,ri,r,iron
56098,ruːŋ,r,trunk (of tree)?
56099,raː,r,come
56101,pwo,p,crawl
56102,pʰiːt,p,hit
56103,bwoːk,b,burst
56106,ŋoːw,ŋ,fry
56107,row,r,roast
56108,re,r,toast
56109,mit,m,rub
